, all, , ,Russian, , ,Chinese, , ,English, , ,Polish, , ,Greek, , 
Tool name, F, R, P, F, R, P, F, R, P, F, R, P, F, R, P, F, R, P
HTML2TEXT_default, 30.12841625765178, 20.04343659450363, 91.15124279259898, 27.122616977627434, 17.30874659574617, 93.27122393634818, 10.269239828764603, 6.1511330480011726, 79.56001574259568, 42.08380967350197, 28.968329602918008, 97.3069543280841, 32.53277093716843, 21.70418753670456, 90.28550596666383, 39.01291186847173, 25.918423131708995, 96.26998262324027
JT_lang_detect, 47.35967297052373, 53.01509708341782, 79.61201891769828, 74.73454720209014, 72.09047556801768, 86.21092174542652, 10.991273995405697, 99.47630922693267, 5.968059120341393, 80.91606390570722, 83.71562169627735, 85.57350472584606, 80.56922308966982, 77.79730231846365, 89.31800453606567, 88.99667518520442, 91.88346482631849, 89.85020493804514
GOO_default, 47.786303179627495, 62.81912576083245, 68.1514577086563, 28.851097152471713, 77.46304829245793, 27.091300912945282, 28.343380991167344, 75.48973041571621, 18.466333500609345, 90.64136600072615, 93.28195126274902, 90.08693724802899, 70.4268455214361, 86.01564657324693, 67.70039717243763, 2.7858270091909523, 74.9661008387576, 1.6173864876414243
JT_lang_specified, 51.987459805569614, 68.61103371370724, 68.13179204219165, 74.73454720209014, 72.09047556801768, 86.21092174542652, 10.991273995405697, 99.47630922693267, 5.968059120341393, 80.91606390570722, 83.71562169627735, 85.57350472584606, 80.56922308966982, 77.79730231846365, 89.31800453606567, 88.99667518520442, 91.88346482631849, 89.85020493804514
BP3_default, 49.097352378696556, 60.36530041287109, 73.53319953864508, 32.64729922739822, 23.154891802680133, 93.95766081907338, 15.69162261976948, 10.504141651862032, 93.05811295275039, 47.30623462694243, 36.42416333610829, 95.24716208342267, 45.082608062315785, 32.61842582982451, 95.44893081818644, 49.817743845333595, 35.30597045039059, 98.84627458269058
NEWSPAPER_default, 48.234953957641196, 63.65108128907627, 68.25472969613195, 3.557539058680596, 72.50722066330681, 2.2777465273662645, 27.332707743875176, 75.29390808692555, 17.481298434408032, 91.19377612669865, 91.53321591527097, 92.68320915763498, 65.12821903768922, 81.21377085238814, 66.6173616098562, 4.091522700483201, 73.42295671866874, 2.974351491915513
TRAF_BL_default, 48.73045936108625, 61.947799041190684, 67.15238890207395, 58.26379715208214, 55.48825669618781, 74.03788426670843, 20.723553380739773, 24.639573489643425, 25.08626699895011, 70.26567534566793, 66.76463234821551, 81.31479917967549, 63.670862874541044, 62.70260674781169, 72.90540918812037, 46.50868298329891, 50.67659492917087, 50.897367176584034
READ_py_default, 50.73001066650239, 61.96621592048109, 68.95407876401806, 74.91645606538508, 73.05312520323719, 86.3047532785578, 38.8720610834698, 38.02699824420079, 53.82131542009389, 65.24638210720134, 63.12922053315891, 89.36672375108232, 74.86539667091142, 71.58906927528831, 91.0920006710446, 81.69618719063908, 75.44300043544852, 94.56778186449243
HTML-text_default, 49.14533666222506, 57.99478866892406, 69.87882682827511, 34.34038465828648, 23.25558456286444, 90.77583909791026, 5.76800902271601, 3.809944205972996, 29.052420038950338, 50.284718098043335, 36.96959387094715, 92.67570119538958, 46.49353307483546, 34.00182016028458, 91.04696538765947, 49.532510550969256, 35.5327622924524, 94.34547303116132
JT_default, 50.72761398609041, 60.78484539090467, 69.78248958091557, 75.0037767231689, 72.12603612897074, 86.82206047839797, 10.991273995405697, 99.47630922693267, 5.968059120341393, 81.98299115044072, 83.70799588812335, 87.57853333901456, 80.97611093498263, 77.65841100644573, 90.33522642807655, 88.80313900886654, 91.43599935214263, 89.95856129382307
TRAF_default, 52.269078745897524, 61.36255851883607, 70.592328096735, 65.99705118358573, 65.39195720210095, 75.53573791881787, 58.40958102110377, 54.963957614611786, 83.42964992289681, 83.81814984745162, 83.13553949259351, 90.11165499862125, 71.0070085523605, 70.3652390587103, 77.98628348435456, 51.541445676846685, 55.65813805417592, 55.63934426018347
NEWSPLEASE_default, 52.836745741815776, 63.21544574941415, 69.47282473521005, 29.831699183223808, 77.22459885771157, 28.900422113256486, 31.237172819376507, 75.24433278749298, 22.141009334045993, 91.40373572508868, 91.92860103278058, 92.67444956859859, 81.1258264507998, 86.61132168984099, 82.1060811222774, 50.11486987122605, 84.55447381007177, 49.292531964544715
INSCRIPTIS_default, 51.358094468027176, 60.09943715535857, 71.4474134142572, 29.789604760898047, 19.318031155072337, 94.22220589170868, 10.161420476354927, 5.954990630945259, 87.93240051126328, 43.52554152183368, 29.85608823247651, 99.18852358447715, 40.35320699578539, 27.627537395931796, 96.35561924002029, 47.781472975148446, 33.24011898869782, 98.3723694395729
READABILITY_default, 52.452080131585596, 60.13829642198926, 72.1770993477332, 70.17067258768321, 65.15905741491467, 80.63488295772908, 33.62075124664005, 24.868536451387314, 63.72327390377957, 80.08865831489119, 74.61563467037102, 89.47167712662844, 73.83192328535043, 69.29826948876016, 84.40356268370417, 81.29240556416602, 75.79513141548048, 92.67875577654407
